,YEAR_,AGENCY,CAUSE,C_METHOD,OBJECTIVE,DECADES
338,2020.0,1.0,14.0,4.0,1.0,44.94441010848846
339,2020.0,1.0,1.0,4.0,1.0,44.94441010848846
340,2020.0,1.0,1.0,7.0,1.0,44.94441010848846
341,2020.0,1.0,5.0,6.0,1.0,44.94441010848846
342,2020.0,1.0,14.0,7.0,1.0,44.94441010848846
343,2020.0,1.0,14.0,7.0,1.0,44.94441010848846
344,2020.0,1.0,14.0,6.0,1.0,44.94441010848846
345,2020.0,1.0,9.0,6.0,1.0,44.94441010848846
346,2020.0,1.0,1.0,7.0,1.0,44.94441010848846
347,2020.0,1.0,2.0,1.0,1.0,44.94441010848846
348,2020.0,1.0,14.0,1.0,1.0,44.94441010848846
349,2020.0,1.0,2.0,1.0,1.0,44.94441010848846
350,2020.0,1.0,14.0,1.0,1.0,44.94441010848846
351,2020.0,0.0,9.0,8.0,1.0,44.94441010848846
352,2020.0,1.0,14.0,1.0,1.0,44.94441010848846
353,2020.0,5.0,14.0,8.0,1.0,44.94441010848846
354,2020.0,11.0,14.0,2.0,1.0,44.94441010848846
355,2020.0,2.0,7.0,1.0,1.0,44.94441010848846
356,2020.0,3.0,10.0,1.0,1.0,44.94441010848846
357,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
358,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
359,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
360,2020.0,3.0,3.0,1.0,1.0,44.94441010848846
361,2020.0,3.0,10.0,1.0,1.0,44.94441010848846
362,2020.0,2.0,5.0,1.0,1.0,44.94441010848846
363,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
364,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
365,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
366,2020.0,2.0,5.0,1.0,1.0,44.94441010848846
367,2020.0,2.0,1.0,1.0,1.0,44.94441010848846
368,2020.0,2.0,1.0,5.0,1.0,44.94441010848846
369,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
370,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
371,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
372,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
373,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
374,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
375,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
376,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
377,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
378,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
379,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
380,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
381,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
382,2020.0,2.0,7.0,1.0,1.0,44.94441010848846
383,2020.0,3.0,7.0,1.0,1.0,44.94441010848846
384,2020.0,3.0,11.0,1.0,1.0,44.94441010848846
385,2020.0,2.0,5.0,1.0,1.0,44.94441010848846
386,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
387,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
388,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
389,2020.0,2.0,2.0,6.0,1.0,44.94441010848846
390,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
391,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
392,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
393,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
394,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
395,2020.0,2.0,10.0,1.0,1.0,44.94441010848846
396,2020.0,2.0,8.0,1.0,1.0,44.94441010848846
397,2020.0,2.0,10.0,6.0,1.0,44.94441010848846
398,2020.0,2.0,10.0,6.0,1.0,44.94441010848846
399,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
400,2020.0,2.0,8.0,1.0,1.0,44.94441010848846
401,2020.0,2.0,10.0,6.0,1.0,44.94441010848846
402,2020.0,2.0,5.0,1.0,1.0,44.94441010848846
403,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
404,2020.0,2.0,11.0,6.0,1.0,44.94441010848846
405,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
406,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
407,2020.0,2.0,10.0,6.0,1.0,44.94441010848846
408,2020.0,2.0,10.0,6.0,1.0,44.94441010848846
409,2020.0,2.0,8.0,6.0,1.0,44.94441010848846
410,2020.0,2.0,14.0,6.0,1.0,44.94441010848846
411,2020.0,2.0,10.0,6.0,1.0,44.94441010848846
412,2020.0,2.0,10.0,6.0,1.0,44.94441010848846
413,2020.0,2.0,1.0,1.0,1.0,44.94441010848846
414,2020.0,2.0,1.0,6.0,1.0,44.94441010848846
415,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
416,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
417,2020.0,2.0,8.0,6.0,1.0,44.94441010848846
418,2020.0,2.0,9.0,1.0,1.0,44.94441010848846
419,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
420,2020.0,2.0,2.0,6.0,1.0,44.94441010848846
421,2020.0,2.0,8.0,1.0,1.0,44.94441010848846
422,2020.0,3.0,14.0,7.0,1.0,44.94441010848846
423,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
424,2020.0,2.0,14.0,7.0,1.0,44.94441010848846
425,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
426,2020.0,3.0,11.0,1.0,1.0,44.94441010848846
427,2020.0,3.0,10.0,1.0,1.0,44.94441010848846
428,2020.0,3.0,11.0,1.0,1.0,44.94441010848846
429,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
430,2020.0,3.0,2.0,1.0,1.0,44.94441010848846
431,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
432,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
433,2020.0,3.0,2.0,1.0,1.0,44.94441010848846
434,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
435,2020.0,3.0,10.0,1.0,1.0,44.94441010848846
436,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
437,2020.0,3.0,10.0,1.0,1.0,44.94441010848846
438,2020.0,3.0,11.0,1.0,1.0,44.94441010848846
439,2020.0,3.0,11.0,3.0,1.0,44.94441010848846
440,2020.0,2.0,11.0,6.0,1.0,44.94441010848846
441,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
442,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
